nume_actiune,timestamp
adauga_categorie,2026-06-04T16:48:55.980944500
adauga_categorie,2026-06-04T16:48:55.989836900
adauga_furnizor,2026-06-04T16:48:55.993162600
adauga_furnizor,2026-06-04T16:48:55.997162200
adauga_produs,2026-06-04T16:48:56.001406300
adauga_produs,2026-06-04T16:48:56.004615400
adauga_produs,2026-06-04T16:48:56.008844600
adauga_produs,2026-06-04T16:48:56.012131300
actualizeaza_produs,2026-06-04T16:48:56.016312900
sterge_produs,2026-06-04T16:48:56.019461
adauga_client,2026-06-04T16:48:56.023638
adauga_client,2026-06-04T16:48:56.026637700
plaseaza_comanda,2026-06-04T16:48:56.036300100
plaseaza_comanda,2026-06-04T16:48:56.039300200
cauta_produs,2026-06-04T16:48:56.040448700
listeaza_produse,2026-06-04T16:48:56.042448700
cauta_produs,2026-06-04T16:48:56.046098500
produse_din_categorie,2026-06-04T16:48:56.047098300
produse_cu_stoc_mic,2026-06-04T16:48:56.048098900
listeaza_clienti,2026-06-04T16:48:56.049230300
genereaza_raport,2026-06-04T16:48:56.060452700
genereaza_raport,2026-06-04T16:48:56.067453100
genereaza_raport,2026-06-04T16:48:56.069453700
adauga_categorie,2026-06-04T16:50:10.938564600
adauga_categorie,2026-06-04T16:50:10.949769800
adauga_furnizor,2026-06-04T16:50:10.956023400
adauga_furnizor,2026-06-04T16:50:10.960219200
adauga_produs,2026-06-04T16:50:10.965227
adauga_produs,2026-06-04T16:50:10.969430800
adauga_produs,2026-06-04T16:50:10.973772500
adauga_produs,2026-06-04T16:50:10.977774700
actualizeaza_produs,2026-06-04T16:50:10.981957600
sterge_produs,2026-06-04T16:50:10.986100500
adauga_client,2026-06-04T16:50:10.990253900
adauga_client,2026-06-04T16:50:10.994249100
plaseaza_comanda,2026-06-04T16:50:11.002678
plaseaza_comanda,2026-06-04T16:50:11.006878900
cauta_produs,2026-06-04T16:50:11.006878900
listeaza_produse,2026-06-04T16:50:11.008869800
cauta_produs,2026-06-04T16:50:11.013213300
produse_din_categorie,2026-06-04T16:50:11.014211100
produse_cu_stoc_mic,2026-06-04T16:50:11.015463700
listeaza_clienti,2026-06-04T16:50:11.017460
genereaza_raport,2026-06-04T16:50:11.028168400
genereaza_raport,2026-06-04T16:50:11.034434500
genereaza_raport,2026-06-04T16:50:11.036425600
